Point Source-Photon Energy / eV,"Toroidal Grating-Exit arm length (sagittal, x-y) / mm","Toroidal Grating-Exit arm length (meridional, y-z) / mm",Slit-Distance / mm
1413.28,1030.71,1030.71,1030.71
1363.28,1030.79,1030.79,1030.79
1313.28,1030.88,1030.88,1030.88
1263.28,1030.97,1030.97,1030.97
1239.84,1031.01,1031.01,1031.01
1213.28,1031.07,1031.07,1031.07
1163.28,1031.18,1031.18,1031.18
1113.28,1031.3,1031.3,1031.3
1063.28,1031.43,1031.43,1031.43
1013.28,1031.57,1031.57,1031.57
963.28,1031.73,1031.73,1031.73
913.28,1031.9,1031.9,1031.9
863.28,1032.1,1032.1,1032.1
813.28,1032.32,1032.32,1032.32
763.28,1032.57,1032.57,1032.57
713.28,1032.85,1032.85,1032.85
663.28,1033.18,1033.18,1033.18
613.28,1033.56,1033.56,1033.56
563.28,1034,1034,1034
513.28,1034.54,1034.54,1034.54
463.28,1035.19,1035.19,1035.19
413.28,1036,1036,1036
363.28,1037.04,1037.04,1037.04
313.28,1038.4,1038.4,1038.4
263.28,1040.3,1040.3,1040.3
213.28,1043.1,1043.1,1043.1
206.64,1043.57,1043.57,1043.57
181.64,1045.67,1045.67,1045.67
163.28,1047.64,1047.64,1047.64
