# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	2.211999999999999744e+01	2.212000000000000077e-02	nan	5.561159167814579488e-03	1.752321777068635567e-02	1.470198991213294282e-01
nan	2.914999999999999858e+01	2.914999999999999883e-02	nan	5.651916000191192432e-03	1.683288353888346550e-02	1.562557875693921239e-01
nan	3.818999999999999773e+01	3.819000000000000172e-02	nan	5.948837098835184183e-03	1.759910380403412883e-02	1.569557356994416286e-01
nan	5.202999999999999403e+01	5.202999999999999986e-02	nan	6.167450941410379875e-03	1.753678304650322858e-02	1.570517624744678375e-01
nan	6.867999999999999261e+01	6.868000000000000493e-02	nan	6.488694448130587038e-03	1.841483157290232930e-02	1.462370108729510176e-01
nan	8.859000000000000341e+01	8.859000000000000208e-02	nan	6.457875021466464097e-03	1.860371578892378377e-02	1.661128824275443505e-01
nan	1.101700000000000017e+02	1.101700000000000179e-01	nan	6.623999088513942909e-03	1.895425299436913000e-02	1.590718554009404040e-01
nan	1.330000000000000000e+02	1.330000000000000071e-01	nan	6.784696081300153891e-03	1.996287790407238680e-02	1.648792105824151977e-01
nan	1.577800000000000011e+02	1.577799999999999758e-01	nan	6.743779908452011626e-03	1.926921861714276166e-02	1.537020117588500934e-01
nan	1.780300000000000011e+02	1.780299999999999938e-01	nan	6.995176100586206550e-03	1.863227667729185077e-02	1.609463314633293174e-01
nan	1.953499999999999943e+02	1.953499999999999959e-01	nan	7.189225017445862939e-03	1.941589291822590907e-02	1.568661396690131382e-01
nan	2.196400000000000148e+02	2.196399999999999741e-01	nan	7.117609090523728706e-03	2.022834122537928159e-02	1.563142238342575263e-01
nan	2.401500000000000057e+02	2.401499999999999468e-01	nan	7.447418967094705453e-03	1.960191924620025006e-02	1.563815476222292500e-01
nan	2.706499999999999773e+02	2.706499999999999462e-01	nan	7.543500341240587728e-03	1.983817064748848863e-02	1.522069238627466736e-01
nan	2.953700000000000045e+02	2.953699999999999659e-01	nan	7.597045625775677991e-03	1.968642709165002030e-02	1.497407478641227530e-01
nan	3.187900000000000205e+02	3.187900000000000178e-01	nan	7.730960905303732415e-03	1.941813316811546661e-02	1.550765767429363451e-01
nan	3.460800000000000409e+02	3.460799999999999987e-01	nan	7.887667628428404049e-03	1.829890274204354003e-02	1.532049590971674702e-01
nan	3.718100000000000023e+02	3.718100000000000849e-01	nan	7.977005655643409909e-03	1.945623503349754382e-02	1.543394653343423684e-01
nan	3.961200000000000045e+02	3.961199999999999166e-01	nan	7.993478485027624009e-03	1.976017265704104603e-02	1.511962431298574105e-01
nan	4.187699999999999818e+02	4.187700000000000311e-01	nan	8.187928037085043936e-03	1.959083823684956704e-02	1.518356615157792910e-01
nan	4.358600000000000136e+02	4.358600000000000252e-01	nan	8.180938828896415493e-03	1.995314154132293502e-02	1.542994674973626190e-01
nan	4.625500000000000114e+02	4.625499999999999612e-01	nan	8.302099551259090743e-03	2.028860001462782711e-02	1.497189525014268607e-01
nan	4.871200000000000045e+02	4.871199999999999974e-01	nan	8.280561285251054199e-03	1.906847256598396406e-02	1.430300417570945226e-01
