Simulation Number,ExitSlit.openingHeight,Laser.photonEnergy,Laser.numberRays,M1.shortRadius
0,0.12,100,300000.0,30.0
1,0.12,100,300000.0,30.1
2,0.12,100,300000.0,30.200000000000003
3,0.12,100,300000.0,30.300000000000004
4,0.12,100,300000.0,30.400000000000006
5,0.12,100,300000.0,30.500000000000007
6,0.12,100,300000.0,30.60000000000001
7,0.12,100,300000.0,30.70000000000001
8,0.12,100,300000.0,30.80000000000001
9,0.12,100,300000.0,30.900000000000013
10,0.12,100,300000.0,31.000000000000014
11,0.12,100,300000.0,31.100000000000016
12,0.12,100,300000.0,31.200000000000017
13,0.12,100,300000.0,31.30000000000002
14,0.12,100,300000.0,31.40000000000002
15,0.12,100,300000.0,31.50000000000002
16,0.12,100,300000.0,31.600000000000023
17,0.12,100,300000.0,31.700000000000024
18,0.12,100,300000.0,31.800000000000026
19,0.12,100,300000.0,31.900000000000027
20,0.12,100,300000.0,32.00000000000003
21,0.12,100,300000.0,32.10000000000003
22,0.12,100,300000.0,32.20000000000003
23,0.12,100,300000.0,32.30000000000003
24,0.12,100,300000.0,32.400000000000034
25,0.12,100,300000.0,32.500000000000036
26,0.12,100,300000.0,32.60000000000004
27,0.12,100,300000.0,32.70000000000004
28,0.12,100,300000.0,32.80000000000004
29,0.12,100,300000.0,32.90000000000004
30,0.12,100,300000.0,33.00000000000004
31,0.12,100,300000.0,33.100000000000044
32,0.12,100,300000.0,33.200000000000045
33,0.12,100,300000.0,33.30000000000005
34,0.12,100,300000.0,33.40000000000005
35,0.12,100,300000.0,33.50000000000005
36,0.12,100,300000.0,33.60000000000005
37,0.12,100,300000.0,33.70000000000005
38,0.12,100,300000.0,33.800000000000054
39,0.12,100,300000.0,33.900000000000055
40,0.12,100,300000.0,34.00000000000006
41,0.12,100,300000.0,34.10000000000006
42,0.12,100,300000.0,34.20000000000006
43,0.12,100,300000.0,34.30000000000006
44,0.12,100,300000.0,34.40000000000006
45,0.12,100,300000.0,34.500000000000064
46,0.12,100,300000.0,34.600000000000065
47,0.12,100,300000.0,34.70000000000007
48,0.12,100,300000.0,34.80000000000007
49,0.12,100,300000.0,34.90000000000007
50,0.12,100,300000.0,35.00000000000007
51,0.12,100,300000.0,35.10000000000007
52,0.12,100,300000.0,35.200000000000074
53,0.12,100,300000.0,35.300000000000075
54,0.12,100,300000.0,35.40000000000008
55,0.12,100,300000.0,35.50000000000008
56,0.12,100,300000.0,35.60000000000008
57,0.12,100,300000.0,35.70000000000008
58,0.12,100,300000.0,35.80000000000008
59,0.12,100,300000.0,35.900000000000084
60,0.12,100,300000.0,36.000000000000085
61,0.12,100,300000.0,36.10000000000009
62,0.12,100,300000.0,36.20000000000009
63,0.12,100,300000.0,36.30000000000009
64,0.12,100,300000.0,36.40000000000009
65,0.12,100,300000.0,36.50000000000009
66,0.12,100,300000.0,36.600000000000094
67,0.12,100,300000.0,36.700000000000095
68,0.12,100,300000.0,36.8000000000001
69,0.12,100,300000.0,36.9000000000001
70,0.12,100,300000.0,37.0000000000001
71,0.12,100,300000.0,37.1000000000001
72,0.12,100,300000.0,37.2000000000001
73,0.12,100,300000.0,37.300000000000104
74,0.12,100,300000.0,37.400000000000105
75,0.12,100,300000.0,37.50000000000011
76,0.12,100,300000.0,37.60000000000011
77,0.12,100,300000.0,37.70000000000011
78,0.12,100,300000.0,37.80000000000011
79,0.12,100,300000.0,37.90000000000011
80,0.12,100,300000.0,38.000000000000114
81,0.12,100,300000.0,38.100000000000115
82,0.12,100,300000.0,38.20000000000012
83,0.12,100,300000.0,38.30000000000012
84,0.12,100,300000.0,38.40000000000012
85,0.12,100,300000.0,38.50000000000012
86,0.12,100,300000.0,38.60000000000012
87,0.12,100,300000.0,38.700000000000124
88,0.12,100,300000.0,38.800000000000125
89,0.12,100,300000.0,38.90000000000013
90,0.12,100,300000.0,39.00000000000013
91,0.12,100,300000.0,39.10000000000013
92,0.12,100,300000.0,39.20000000000013
93,0.12,100,300000.0,39.30000000000013
94,0.12,100,300000.0,39.400000000000134
95,0.12,100,300000.0,39.500000000000135
96,0.12,100,300000.0,39.600000000000136
97,0.12,100,300000.0,39.70000000000014
98,0.12,100,300000.0,39.80000000000014
99,0.12,100,300000.0,39.90000000000014
100,0.12,100,300000.0,40.00000000000014
101,0.12,100,300000.0,40.10000000000014
102,0.12,100,300000.0,40.200000000000145
103,0.12,100,300000.0,40.300000000000146
104,0.12,100,300000.0,40.40000000000015
105,0.12,100,300000.0,40.50000000000015
106,0.12,100,300000.0,40.60000000000015
107,0.12,100,300000.0,40.70000000000015
108,0.12,100,300000.0,40.80000000000015
109,0.12,100,300000.0,40.900000000000155
110,0.12,100,300000.0,41.000000000000156
111,0.12,100,300000.0,41.10000000000016
112,0.12,100,300000.0,41.20000000000016
113,0.12,100,300000.0,41.30000000000016
114,0.12,100,300000.0,41.40000000000016
115,0.12,100,300000.0,41.50000000000016
116,0.12,100,300000.0,41.600000000000165
117,0.12,100,300000.0,41.700000000000166
118,0.12,100,300000.0,41.80000000000017
119,0.12,100,300000.0,41.90000000000017
120,0.12,100,300000.0,42.00000000000017
121,0.12,100,300000.0,42.10000000000017
122,0.12,100,300000.0,42.20000000000017
123,0.12,100,300000.0,42.300000000000175
124,0.12,100,300000.0,42.400000000000176
125,0.12,100,300000.0,42.50000000000018
126,0.12,100,300000.0,42.60000000000018
127,0.12,100,300000.0,42.70000000000018
128,0.12,100,300000.0,42.80000000000018
129,0.12,100,300000.0,42.90000000000018
130,0.12,100,300000.0,43.000000000000185
131,0.12,100,300000.0,43.100000000000186
132,0.12,100,300000.0,43.20000000000019
133,0.12,100,300000.0,43.30000000000019
134,0.12,100,300000.0,43.40000000000019
135,0.12,100,300000.0,43.50000000000019
136,0.12,100,300000.0,43.60000000000019
137,0.12,100,300000.0,43.700000000000195
138,0.12,100,300000.0,43.800000000000196
139,0.12,100,300000.0,43.9000000000002
140,0.12,100,300000.0,44.0000000000002
141,0.12,100,300000.0,44.1000000000002
142,0.12,100,300000.0,44.2000000000002
143,0.12,100,300000.0,44.3000000000002
144,0.12,100,300000.0,44.400000000000205
145,0.12,100,300000.0,44.500000000000206
146,0.12,100,300000.0,44.60000000000021
147,0.12,100,300000.0,44.70000000000021
148,0.12,100,300000.0,44.80000000000021
149,0.12,100,300000.0,44.90000000000021
150,0.12,100,300000.0,45.00000000000021
151,0.12,100,300000.0,45.100000000000215
152,0.12,100,300000.0,45.200000000000216
153,0.12,100,300000.0,45.30000000000022
154,0.12,100,300000.0,45.40000000000022
155,0.12,100,300000.0,45.50000000000022
156,0.12,100,300000.0,45.60000000000022
157,0.12,100,300000.0,45.70000000000022
158,0.12,100,300000.0,45.800000000000225
159,0.12,100,300000.0,45.900000000000226
160,0.12,100,300000.0,46.00000000000023
161,0.12,100,300000.0,46.10000000000023
162,0.12,100,300000.0,46.20000000000023
163,0.12,100,300000.0,46.30000000000023
164,0.12,100,300000.0,46.40000000000023
165,0.12,100,300000.0,46.500000000000234
166,0.12,100,300000.0,46.600000000000236
167,0.12,100,300000.0,46.70000000000024
168,0.12,100,300000.0,46.80000000000024
169,0.12,100,300000.0,46.90000000000024
170,0.12,100,300000.0,47.00000000000024
171,0.12,100,300000.0,47.10000000000024
172,0.12,100,300000.0,47.200000000000244
173,0.12,100,300000.0,47.300000000000246
174,0.12,100,300000.0,47.40000000000025
175,0.12,100,300000.0,47.50000000000025
176,0.12,100,300000.0,47.60000000000025
177,0.12,100,300000.0,47.70000000000025
178,0.12,100,300000.0,47.80000000000025
179,0.12,100,300000.0,47.900000000000254
180,0.12,100,300000.0,48.000000000000256
181,0.12,100,300000.0,48.10000000000026
182,0.12,100,300000.0,48.20000000000026
183,0.12,100,300000.0,48.30000000000026
184,0.12,100,300000.0,48.40000000000026
185,0.12,100,300000.0,48.50000000000026
186,0.12,100,300000.0,48.600000000000264
187,0.12,100,300000.0,48.700000000000266
188,0.12,100,300000.0,48.80000000000027
189,0.12,100,300000.0,48.90000000000027
190,0.12,100,300000.0,49.00000000000027
191,0.12,100,300000.0,49.10000000000027
192,0.12,100,300000.0,49.20000000000027
193,0.12,100,300000.0,49.300000000000274
194,0.12,100,300000.0,49.400000000000276
195,0.12,100,300000.0,49.50000000000028
196,0.12,100,300000.0,49.60000000000028
197,0.12,100,300000.0,49.70000000000028
198,0.12,100,300000.0,49.80000000000028
199,0.12,100,300000.0,49.90000000000028
