,Simulation Number,ExitSlit.openingHeight,Laser.photonEnergy,Laser.numberRays,M1.shortRadius,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM
0,0,0.12,100,300000.0,30.0,,22669.04,7.556346666666665,,0.01867904565444352,0.20037197398853004,0.0039012462901433153
1,1,0.12,100,300000.0,30.1,,22690.64,7.5635466666666655,,0.01998677032961268,0.1904225105060676,0.003875946257159528
2,2,0.12,100,300000.0,30.200000000000003,,22679.12,7.559706666666665,,0.01996594546621907,0.2038698895977369,0.0038560371462978294
3,3,0.12,100,300000.0,30.300000000000004,,22717.56,7.57252,,0.01997996075521769,0.1917384284997364,0.003775211180091391
4,4,0.12,100,300000.0,30.40000000000001,,22693.72,7.564573333333333,,0.01997636642983707,0.18600653588266927,0.00370457638321384
5,5,0.12,100,300000.0,30.500000000000007,,22685.92,7.561973333333331,,0.019966140355735434,0.18302477111462537,0.0037807042716635855
6,6,0.12,100,300000.0,30.60000000000001,,22715.64,7.571880000000003,,0.019967782543357657,0.1930922656955981,0.003738109886374135
7,7,0.12,100,300000.0,30.70000000000001,,22711.28,7.570426666666667,,0.019978235337954404,0.18662440353307705,0.003837370492824681
8,8,0.12,100,300000.0,30.80000000000001,,22704.92,7.568306666666666,,0.019972922398856095,0.18185399888173504,0.00371814607776902
9,9,0.12,100,300000.0,30.900000000000013,,22687.52,7.562506666666666,,0.019961764405113058,0.1794737689499208,0.0039010941977656354
10,10,0.12,100,300000.0,31.00000000000001,,22717.64,7.572546666666667,,0.019970598496660726,0.17179083657958283,0.003770061211291043
11,11,0.12,100,300000.0,31.100000000000016,,22715.84,7.571946666666667,,0.019951354910546115,0.17812072274933038,0.003811719801489717
12,12,0.12,100,300000.0,31.200000000000017,,22709.24,7.569746666666665,,0.019972216806060032,0.16441811809180115,0.00389300602296974
13,13,0.12,100,300000.0,31.30000000000002,,22690.08,7.56336,,0.019982970194209315,0.17378699333366804,0.0037272165954370206
14,14,0.12,100,300000.0,31.40000000000002,,22712.48,7.570826666666667,,0.019972050129871372,0.1676174968273841,0.0037628113318956937
15,15,0.12,100,300000.0,31.50000000000002,,22691.16,7.563719999999998,,0.019900378286230876,0.1619715112569317,0.0037967554617715617
16,16,0.12,100,300000.0,31.600000000000023,,22705.6,7.568533333333331,,0.01998138454500861,0.15966782231030627,0.003763785297125604
17,17,0.12,100,300000.0,31.700000000000024,,22739.6,7.579866666666666,,0.01998182049611671,0.157757976557144,0.00390324373712044
18,18,0.12,100,300000.0,31.800000000000026,,22738.96,7.579653333333333,,0.019978029900849494,0.16062370682634525,0.0037690239626593136
19,19,0.12,100,300000.0,31.900000000000027,,22693.4,7.564466666666665,,0.01871590151835448,0.15386788341378785,0.003948421629280662
20,20,0.12,100,300000.0,32.00000000000003,,22701.6,7.567199999999999,,0.01991801515596421,0.15052043810682103,0.0037727858328662914
21,21,0.12,100,300000.0,32.10000000000003,,22703.92,7.567973333333331,,0.019955691753368116,0.1597691016852745,0.003772778042435269
22,22,0.12,100,300000.0,32.20000000000003,,22725.96,7.575319999999999,,0.019973411602931607,0.15235041570491714,0.0037736364733535594
23,23,0.12,100,300000.0,32.30000000000003,,22681.56,7.560519999999999,,0.01996525344061297,0.14931381194310006,0.003711968426693511
24,24,0.12,100,300000.0,32.400000000000034,,22767.0,7.589,,0.019950298713674784,0.14250380928455783,0.003813657292829292
25,25,0.12,100,300000.0,32.50000000000004,,22718.92,7.572973333333331,,0.01997078406101139,0.14605231327955104,0.0039245596993925
26,26,0.12,100,300000.0,32.60000000000004,,22696.92,7.56564,,0.019980156453302696,0.14498479680896467,0.0037686799093241455
27,27,0.12,100,300000.0,32.70000000000004,,22697.68,7.5658933333333325,,0.019979461568549368,0.1420750434113813,0.0036214104058097697
28,28,0.12,100,300000.0,32.80000000000004,,22725.08,7.575026666666669,,0.019967420339932002,0.13140420058385002,0.003908443435461088
29,29,0.12,100,300000.0,32.90000000000004,,22765.88,7.588626666666667,,0.01998558294844656,0.14282149627108104,0.003928744573407613
30,30,0.12,100,300000.0,33.00000000000004,,22712.16,7.570719999999999,,0.01996895562213808,0.1366329005805697,0.0037846288388352625
31,31,0.12,100,300000.0,33.100000000000044,,22733.88,7.577959999999998,,0.019979329758426728,0.1329663805088876,0.003893143861027796
