,Simulation Number,ExitSlit.openingHeight,Laser.photonEnergy,Laser.numberRays,M1.shortRadius,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM
0,0,0.12,100,300000.0,30.0,,113345.2,37.78173333333333,,0.0933952282722176,1.00185986994265,0.019506231450716578
1,1,0.12,100,300000.0,30.1,,113453.2,37.81773333333333,,0.0999338516480634,0.9521125525303379,0.01937973128579764
2,2,0.12,100,300000.0,30.200000000000003,,113395.6,37.79853333333333,,0.09982972733109532,1.0193494479886844,0.01928018573148915
3,3,0.12,100,300000.0,30.300000000000004,,113587.8,37.8626,,0.09989980377608845,0.958692142498682,0.018876055900456955
4,4,0.12,100,300000.0,30.40000000000001,,113468.6,37.82286666666666,,0.09988183214918536,0.9300326794133464,0.0185228819160692
5,5,0.12,100,300000.0,30.500000000000007,,113429.6,37.80986666666666,,0.09983070177867716,0.915123855573127,0.018903521358317927
6,6,0.12,100,300000.0,30.60000000000001,,113578.2,37.85940000000001,,0.09983891271678828,0.9654613284779906,0.018690549431870672
7,7,0.12,100,300000.0,30.70000000000001,,113556.4,37.85213333333333,,0.099891176689772,0.9331220176653853,0.019186852464123404
8,8,0.12,100,300000.0,30.80000000000001,,113524.6,37.84153333333333,,0.09986461199428048,0.9092699944086752,0.0185907303888451
9,9,0.12,100,300000.0,30.900000000000013,,113437.6,37.81253333333333,,0.09980882202556528,0.8973688447496042,0.019505470988828176
10,10,0.12,100,300000.0,31.00000000000001,,113588.2,37.86273333333334,,0.09985299248330365,0.858954182897914,0.018850306056455216
11,11,0.12,100,300000.0,31.100000000000016,,113579.2,37.85973333333334,,0.09975677455273056,0.8906036137466519,0.019058599007448582
12,12,0.12,100,300000.0,31.200000000000017,,113546.2,37.84873333333333,,0.09986108403030015,0.8220905904590058,0.0194650301148487
13,13,0.12,100,300000.0,31.30000000000002,,113450.4,37.8168,,0.09991485097104656,0.8689349666683401,0.018636082977185105
14,14,0.12,100,300000.0,31.40000000000002,,113562.4,37.85413333333334,,0.09986025064935689,0.8380874841369205,0.018814056659478468
15,15,0.12,100,300000.0,31.50000000000002,,113455.8,37.8186,,0.09950189143115437,0.8098575562846587,0.018983777308857808
16,16,0.12,100,300000.0,31.600000000000023,,113528.0,37.842666666666666,,0.09990692272504303,0.7983391115515314,0.01881892648562802
17,17,0.12,100,300000.0,31.700000000000024,,113698.0,37.89933333333333,,0.09990910248058356,0.78878988278572,0.0195162186856022
18,18,0.12,100,300000.0,31.800000000000026,,113694.8,37.89826666666666,,0.09989014950424746,0.8031185341317264,0.01884511981329657
19,19,0.12,100,300000.0,31.900000000000027,,113467.0,37.822333333333326,,0.09357950759177239,0.7693394170689392,0.01974210814640331
20,20,0.12,100,300000.0,32.00000000000003,,113508.0,37.836,,0.09959007577982106,0.7526021905341053,0.018863929164331456
21,21,0.12,100,300000.0,32.10000000000003,,113519.6,37.839866666666666,,0.09977845876684056,0.7988455084263725,0.018863890212176347
22,22,0.12,100,300000.0,32.20000000000003,,113629.8,37.8766,,0.09986705801465805,0.7617520785245857,0.018868182366767797
23,23,0.12,100,300000.0,32.30000000000003,,113407.8,37.8026,,0.09982626720306485,0.7465690597155001,0.01855984213346756
24,24,0.12,100,300000.0,32.400000000000034,,113835.0,37.945,,0.09975149356837391,0.7125190464227892,0.01906828646414646
25,25,0.12,100,300000.0,32.50000000000004,,113594.6,37.86486666666666,,0.09985392030505692,0.7302615663977552,0.019622798496962496
26,26,0.12,100,300000.0,32.60000000000004,,113484.6,37.8282,,0.09990078226651347,0.7249239840448234,0.018843399546620728
27,27,0.12,100,300000.0,32.70000000000004,,113488.4,37.82946666666666,,0.09989730784274685,0.7103752170569064,0.01810705202904885
28,28,0.12,100,300000.0,32.80000000000004,,113625.4,37.87513333333334,,0.09983710169966002,0.65702100291925,0.01954221717730544
29,29,0.12,100,300000.0,32.90000000000004,,113829.4,37.943133333333336,,0.09992791474223281,0.7141074813554052,0.01964372286703806
30,30,0.12,100,300000.0,33.00000000000004,,113560.8,37.8536,,0.0998447781106904,0.6831645029028485,0.018923144194176306
31,31,0.12,100,300000.0,33.100000000000044,,113669.4,37.889799999999994,,0.09989664879213363,0.664831902544438,0.019465719305138976
32,32,0.12,100,300000.0,33.200000000000045,,113687.6,37.89586666666667,,0.09987244595848781,0.6599857340751363,0.01900547319311132
33,33,0.12,100,300000.0,33.30000000000005,,113646.2,37.88206666666667,,0.09971437434054736,0.6611144655345311,0.018488950704556684
34,34,0.12,100,300000.0,33.40000000000005,,113637.2,37.87906666666667,,0.09974711668435816,0.6363120513458792,0.0189667244385654
35,35,0.12,100,300000.0,33.50000000000005,,113626.0,37.87533333333334,,0.0996027281676561,0.6198172905637241,0.01953740987694325
36,36,0.12,100,300000.0,33.60000000000005,,113339.6,37.77986666666667,,0.09948080293661404,0.6208893519339368,0.01950170518480568
37,37,0.12,100,300000.0,33.70000000000005,,113704.0,37.901333333333326,,0.09986142468343645,0.6101560558094331,0.019165268796354783
38,38,0.12,100,300000.0,33.800000000000054,,113740.8,37.9136,,0.09985188495064676,0.6288793177285493,0.019603383779922497
39,39,0.12,100,300000.0,33.900000000000055,,113656.6,37.88553333333333,,0.09980484477728167,0.5731063254444484,0.01963726138068818
40,40,0.12,100,300000.0,34.00000000000006,,113675.4,37.8918,,0.09994962882824439,0.5520112627069512,0.01957068751186156
41,41,0.12,100,300000.0,34.10000000000006,,113811.0,37.937,,0.09978145152917647,0.5839419276260174,0.019005430596531092
42,42,0.12,100,300000.0,34.20000000000006,,113804.8,37.93493333333334,,0.09990951620502812,0.5471064352855489,0.019234574784906047
43,43,0.12,100,300000.0,34.30000000000006,,113623.6,37.874533333333325,,0.09992052560593549,0.5539677928501944,0.01930690641137411
44,44,0.12,100,300000.0,34.40000000000006,,113561.0,37.85366666666666,,0.09969215262367753,0.5291402970526801,0.019240829483173336
45,45,0.12,100,300000.0,34.500000000000064,,113736.4,37.91213333333333,,0.09951906055830192,0.5179525597106288,0.019599522690897066
46,46,0.12,100,300000.0,34.600000000000065,,113681.4,37.893800000000006,,0.0998481610694995,0.5421941201075868,0.019569567618653506
47,47,0.12,100,300000.0,34.70000000000007,,113501.8,37.83393333333333,,0.09977339457274467,0.5150078135588625,0.018817355978789047
48,48,0.12,100,300000.0,34.80000000000007,,113720.4,37.9068,,0.09986651970029925,0.5002298042098994,0.019784605063760445
49,49,0.12,100,300000.0,34.90000000000007,,113697.8,37.899266666666655,,0.09965312163468525,0.5166207495269969,0.0192403135419934
50,50,0.12,100,300000.0,35.00000000000007,,113750.2,37.916733333333326,,0.09984020696292929,0.4954920007643536,0.019481790636947063
51,51,0.12,100,300000.0,35.10000000000007,,113669.8,37.889933333333325,,0.09986744753256005,0.4920543327087856,0.01948178590108224
52,52,0.12,100,300000.0,35.200000000000074,,113661.2,37.887066666666655,,0.0998677427403294,0.4737107027208789,0.01967221535652204
53,53,0.12,100,300000.0,35.300000000000075,,113784.8,37.928266666666666,,0.09992802753765204,0.4431881058838612,0.019621888633813676
54,54,0.12,100,300000.0,35.40000000000008,,113700.0,37.9,,0.0994091091392221,0.4656330276033466,0.019657817052517294
55,55,0.12,100,300000.0,35.50000000000008,,113678.6,37.89286666666667,,0.0998374957971464,0.44545418103346857,0.019805801074680992
56,56,0.12,100,300000.0,35.60000000000008,,113688.8,37.89626666666666,,0.09352065190100163,0.4445559107284008,0.019227752468214766
