,Simulation Number,ExitSlit.openingHeight,Laser.photonEnergy,Laser.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM
53,53,0.12,93,100000.0,,35661.8,35.6618,,0.09248138740757099,0.20678971721946163,0.01938733827345711
54,54,0.12,94,100000.0,,36251.8,36.2518,,0.0938167224484772,0.19333305752267796,0.01948818965242527
55,55,0.12,95,100000.0,,36786.4,36.7864,,0.09476770158373425,0.2049423700904291,0.0200204837628728
56,56,0.12,96,100000.0,,37138.8,37.1388,,0.09569828798369144,0.1913775109057652,0.019704360309530957
57,57,0.12,97,100000.0,,37504.6,37.5046,,0.0965473456431937,0.19258014445600544,0.020010682566745763
58,58,0.12,98,100000.0,,37928.2,37.9282,,0.09696337422195142,0.20726223885930384,0.020087558938374783
59,59,0.12,99,100000.0,,37912.0,37.912,,0.0986635327763139,0.19729573315566104,0.01901871082341712
60,60,0.12,100,100000.0,,37891.4,37.8914,,0.09958060456440025,0.20097525650235276,0.01899378506644864
61,61,0.12,101,100000.0,,37735.8,37.7358,,0.10010536845171032,0.2032292412592258,0.019631889566522422
62,62,0.12,102,100000.0,,37784.8,37.7848,,0.10160552123811044,0.2055539751696988,0.01922360192570244
63,63,0.12,103,100000.0,,37811.2,37.8112,,0.10251277946372853,0.204005456624139,0.019425409871596376
64,64,0.12,104,100000.0,,37685.0,37.685,,0.10245739191246057,0.18983264854145168,0.019928017885231374
65,65,0.12,105,100000.0,,37693.0,37.693,,0.1046722527310436,0.19760871674429953,0.019838664874019064
66,66,0.12,106,100000.0,,37554.8,37.5548,,0.10569906740456644,0.19261573684393457,0.01930695589764535
67,67,0.12,107,100000.0,,37421.8,37.4218,,0.10657815543602565,0.20608182529229163,0.01894664493135543
68,68,0.12,108,100000.0,,37284.6,37.2846,,0.10771630427204285,0.2008238274776926,0.01894250375337232
69,69,0.12,109,100000.0,,37254.8,37.2548,,0.1014212436563142,0.20427196699090727,0.01964738380053217
70,70,0.12,110,100000.0,,37180.4,37.180400000000006,,0.10907283681450793,0.19571898401891943,0.01933717073195309
71,71,0.12,111,100000.0,,36989.6,36.9896,,0.11028528634981569,0.1991881164469216,0.018555307074484516
72,72,0.12,112,100000.0,,36940.8,36.9408,,0.11180179946211694,0.19371411283300363,0.018980317944096204
73,73,0.12,113,100000.0,,36551.4,36.5514,,0.11271341184600772,0.18927474391008856,0.018057959160911973
74,74,0.12,114,100000.0,,36461.2,36.4612,,0.1136178290737064,0.20119734199799663,0.018504415481048753
75,75,0.12,115,100000.0,,36460.6,36.4606,,0.11446885702015094,0.18840456136931208,0.01874652789548836
76,76,0.12,116,100000.0,,36267.0,36.267,,0.11516128011960516,0.2026720025238274,0.018718565544720088
77,77,0.12,117,100000.0,,36099.0,36.099,,0.1166090045141658,0.20586350080815097,0.0190216145274456
78,78,0.12,118,100000.0,,36042.4,36.0424,,0.11767369092245589,0.19848182434412603,0.018404540186650033
79,79,0.12,119,100000.0,,35985.4,35.9854,,0.11841530976632839,0.2062975634349226,0.01861099079818276
80,80,0.12,120,100000.0,,35946.2,35.9462,,0.11941982737894248,0.189685416001939,0.01922156531869001
81,81,0.12,121,100000.0,,35929.8,35.9298,,0.12036423869758436,0.20275065930338304,0.01865896537530425
82,82,0.12,122,100000.0,,35935.4,35.9354,,0.1207710045370561,0.1985082116730741,0.019339905814694976
83,83,0.12,123,100000.0,,35837.2,35.8372,,0.12221659395833624,0.19788722057012595,0.0187934763333578
84,84,0.12,124,100000.0,,35962.2,35.9622,,0.1236387542502456,0.1936424705862442,0.018726533918659256
85,85,0.12,125,100000.0,,35702.8,35.7028,,0.12428536332170095,0.19737661507287377,0.018820318044131663
86,86,0.12,126,100000.0,,35763.8,35.7638,,0.12556720858810308,0.2002747710736064,0.01847658089346158
87,87,0.12,127,100000.0,,35820.4,35.8204,,0.12636490475076984,0.2003445754155172,0.018932075653969704
88,88,0.12,128,100000.0,,35695.6,35.6956,,0.12711026303070128,0.21098312594427307,0.01849160537075001
89,89,0.12,129,100000.0,,35733.8,35.733799999999995,,0.12864918981337042,0.2009566242308512,0.01864465988117736
90,90,0.12,130,100000.0,,35570.0,35.57,,0.12972041276418622,0.20471960263455088,0.019671871491637023
91,91,0.12,131,100000.0,,35572.2,35.572199999999995,,0.1307960033206598,0.19636305075466887,0.01850305578154021
92,92,0.12,132,100000.0,,35710.6,35.7106,,0.13061217829423413,0.19027938425514343,0.018664209731518965
93,93,0.12,133,100000.0,,35562.2,35.562200000000004,,0.1321632059834826,0.20856120192084673,0.018609668040817873
94,94,0.12,134,100000.0,,35578.8,35.578799999999994,,0.13356935164463835,0.19609801429039855,0.019125958896296247
95,95,0.12,135,100000.0,,35700.6,35.7006,,0.13478589973261706,0.1972166273104803,0.01879323778232376
96,96,0.12,136,100000.0,,35647.6,35.647600000000004,,0.13489328864612277,0.204186546011378,0.01930173880099684
97,97,0.12,137,100000.0,,35503.4,35.5034,,0.13380173114383637,0.19918211857473245,0.018517223512528776
98,98,0.12,138,100000.0,,35583.0,35.583,,0.13674376368320507,0.20112210331887992,0.01874837235955411
99,99,0.12,139,100000.0,,35601.6,35.6016,,0.13787935134633927,0.1989387950507183,0.018520351970344608
100,100,0.12,140,100000.0,,35686.6,35.6866,,0.13956854691580248,0.1918800873442449,0.019196340185161274
101,101,0.12,141,100000.0,,35568.2,35.568200000000004,,0.1407843969022906,0.19364072027031573,0.01847143164787468
102,102,0.12,142,100000.0,,35715.4,35.7154,,0.14171308669472182,0.20224133527960336,0.019181051954678095
103,103,0.12,143,100000.0,,35710.2,35.7102,,0.14214687632819503,0.20977954911942603,0.018759164919338645
104,104,0.12,144,100000.0,,35741.8,35.7418,,0.14334492231268428,0.20301803945730992,0.018809022121854823
105,105,0.12,145,100000.0,,35554.8,35.5548,,0.14435551616159045,0.20106879031119637,0.018811344882529113
106,106,0.12,146,100000.0,,35689.4,35.6894,,0.145701651854597,0.19767270013739463,0.018544827156371287
107,107,0.12,147,100000.0,,35417.8,35.4178,,0.1468171488181042,0.19128533204281367,0.018477266361269073
108,108,0.12,148,100000.0,,35255.0,35.255,,0.14737580627590888,0.1982228007238864,0.01871034588358711
109,109,0.12,149,100000.0,,35247.0,35.24699999999999,,0.1477869837829985,0.19929431098955935,0.019100325304505183
110,110,0.12,150,100000.0,,35074.8,35.0748,,0.1497149928976512,0.19522517883035617,0.019202304213486697
111,111,0.12,151,100000.0,,35007.0,35.007,,0.1498915298282668,0.20784253622022128,0.01875459655710188
112,112,0.12,152,100000.0,,34885.4,34.885400000000004,,0.15121931355122342,0.1994562943425282,0.018824941084216108
113,113,0.12,153,100000.0,,34849.4,34.849399999999996,,0.15201646279178363,0.1999365517082793,0.01959536167745952
114,114,0.12,154,100000.0,,34633.8,34.633799999999994,,0.15328708204713165,0.1991397383613576,0.01896133868227796
115,115,0.12,155,100000.0,,34554.2,34.5542,,0.15409426435359705,0.19672132153678892,0.01857616416905525
116,116,0.12,156,100000.0,,34442.2,34.4422,,0.1552884247065549,0.19655681626328367,0.018350613190865946
117,117,0.12,157,100000.0,,34386.6,34.3866,,0.15337358786235883,0.19421630140979443,0.01901055116539201
118,118,0.12,158,100000.0,,34215.0,34.215,,0.1574432682403824,0.20031211015257488,0.01888885137713352
119,119,0.12,159,100000.0,,34069.8,34.0698,,0.14826445730722515,0.2060520320013972,0.019101451642841383
120,120,0.12,160,100000.0,,34080.0,34.08,,0.159618694589534,0.19796315052473049,0.019189211836680892
121,121,0.12,161,100000.0,,33858.8,33.858799999999995,,0.16027744518029863,0.20424245056247425,0.018847255823213515
122,122,0.12,162,100000.0,,33791.4,33.7914,,0.16159560581016308,0.19357070461744552,0.018817849262701712
123,123,0.12,163,100000.0,,33711.2,33.7112,,0.16269127405847145,0.2046437344809089,0.01914570098557462
124,124,0.12,164,100000.0,,33435.4,33.4354,,0.16346827563803004,0.1976900621059924,0.018832618561701507
125,125,0.12,165,100000.0,,33126.0,33.12599999999999,,0.16481495973833943,0.20217565567231477,0.019240690540264893
126,126,0.12,166,100000.0,,32642.8,32.64280000000001,,0.16475192239378772,0.19400526996777984,0.01915871521116301
127,127,0.12,167,100000.0,,32550.6,32.550599999999996,,0.15570246223998657,0.19484790076691327,0.01801566898815743
128,128,0.12,168,100000.0,,32184.2,32.184200000000004,,0.16758754423549363,0.19471340406398324,0.019130572675979
129,129,0.12,169,100000.0,,31678.4,31.6784,,0.16819308144662842,0.19705576781425088,0.01926052216162297
130,130,0.12,170,100000.0,,31469.6,31.469600000000003,,0.16958365093396424,0.20420371858835568,0.019519806067778235
131,131,0.12,171,100000.0,,31090.8,31.0908,,0.17069317800360864,0.2105679170045036,0.019479013997682055
132,132,0.12,172,100000.0,,30695.4,30.6954,,0.17111302669558767,0.1955110683611365,0.018433081113798263
133,133,0.12,173,100000.0,,30352.6,30.3526,,0.17265353842243486,0.20086437613964928,0.018508453833901935
134,134,0.12,174,100000.0,,30062.4,30.062400000000004,,0.17334997851464778,0.20324984578412847,0.018852502278801357
135,135,0.12,175,100000.0,,29514.2,29.5142,,0.17438830957042342,0.19657391098975877,0.018385192500617365
136,136,0.12,176,100000.0,,29049.6,29.0496,,0.1753634603592218,0.20448920574293447,0.018055448402210315
137,137,0.12,177,100000.0,,28295.4,28.2954,,0.17649305078043084,0.1947068868371609,0.019440443154957167
