Simulation Number,ExitSlit.openingHeight,Laser.photonEnergy,Laser.numberRays
0,0.12,160,10000
1,0.12,160,10000
2,0.12,160,10000
3,0.12,160,10000
4,0.12,160,10000
5,0.12,160,10000
6,0.12,160,10000
7,0.12,160,10000
8,0.12,160,10000
9,0.12,160,10000
10,0.12,160,10000
11,0.12,160,10000
12,0.12,160,10000
13,0.12,160,10000
14,0.12,160,10000
15,0.12,160,10000
16,0.12,160,10000
17,0.12,160,10000
18,0.12,160,10000
19,0.12,160,10000
20,0.12,160,10000
21,0.12,160,10000
22,0.12,160,10000
23,0.12,160,10000
24,0.12,160,10000
25,0.12,160,10000
26,0.12,160,10000
27,0.12,160,10000
28,0.12,160,10000
29,0.12,160,10000
30,0.12,160,10000
31,0.12,160,10000
32,0.12,160,10000
33,0.12,160,10000
34,0.12,160,10000
35,0.12,160,10000
36,0.12,160,10000
37,0.12,160,10000
38,0.12,160,10000
39,0.12,160,10000
40,0.12,160,10000
41,0.12,160,10000
42,0.12,160,10000
43,0.12,160,10000
44,0.12,160,10000
45,0.12,160,10000
46,0.12,160,10000
47,0.12,160,10000
48,0.12,160,10000
49,0.12,160,10000
50,0.12,160,10000
51,0.12,160,10000
52,0.12,160,10000
53,0.12,160,10000
54,0.12,160,10000
55,0.12,160,10000
56,0.12,160,10000
57,0.12,160,10000
58,0.12,160,10000
59,0.12,160,10000
60,0.12,160,10000
61,0.12,160,10000
62,0.12,160,10000
63,0.12,160,10000
64,0.12,160,10000
65,0.12,160,10000
66,0.12,160,10000
67,0.12,160,10000
68,0.12,160,10000
69,0.12,160,10000
70,0.12,160,10000
71,0.12,160,10000
72,0.12,160,10000
73,0.12,160,10000
74,0.12,160,10000
75,0.12,160,10000
76,0.12,160,10000
77,0.12,160,10000
78,0.12,160,10000
79,0.12,160,10000
80,0.12,160,10000
81,0.12,160,10000
82,0.12,160,10000
83,0.12,160,10000
84,0.12,160,10000
85,0.12,160,10000
86,0.12,160,10000
87,0.12,160,10000
88,0.12,160,10000
89,0.12,160,10000
90,0.12,160,10000
91,0.12,160,10000
92,0.12,160,10000
93,0.12,160,10000
94,0.12,160,10000
95,0.12,160,10000
96,0.12,160,10000
97,0.12,160,10000
98,0.12,160,10000
99,0.12,160,10000
100,0.12,160,10000
101,0.12,160,10000
102,0.12,160,10000
103,0.12,160,10000
104,0.12,160,10000
105,0.12,160,10000
106,0.12,160,10000
107,0.12,160,10000
108,0.12,160,10000
109,0.12,160,10000
110,0.12,160,10000
111,0.12,160,10000
112,0.12,160,10000
113,0.12,160,10000
114,0.12,160,10000
115,0.12,160,10000
116,0.12,160,10000
117,0.12,160,10000
118,0.12,160,10000
119,0.12,160,10000
120,0.12,160,10000
121,0.12,160,10000
122,0.12,160,10000
123,0.12,160,10000
124,0.12,160,10000
125,0.12,160,10000
126,0.12,160,10000
127,0.12,160,10000
128,0.12,160,10000
129,0.12,160,10000
130,0.12,160,10000
131,0.12,160,10000
132,0.12,160,10000
133,0.12,160,10000
134,0.12,160,10000
135,0.12,160,10000
136,0.12,160,10000
137,0.12,160,10000
138,0.12,160,10000
139,0.12,160,10000
140,0.12,160,10000
141,0.12,160,10000
142,0.12,160,10000
143,0.12,160,10000
144,0.12,160,10000
145,0.12,160,10000
146,0.12,160,10000
147,0.12,160,10000
148,0.12,160,10000
149,0.12,160,10000
150,0.12,160,10000
151,0.12,160,10000
152,0.12,160,10000
153,0.12,160,10000
154,0.12,160,10000
155,0.12,160,10000
156,0.12,160,10000
157,0.12,160,10000
158,0.12,160,10000
159,0.12,160,10000
160,0.12,160,10000
161,0.12,160,10000
162,0.12,160,10000
163,0.12,160,10000
164,0.12,160,10000
165,0.12,160,10000
166,0.12,160,10000
167,0.12,160,10000
168,0.12,160,10000
169,0.12,160,10000
170,0.12,160,10000
171,0.12,160,10000
172,0.12,160,10000
173,0.12,160,10000
174,0.12,160,10000
175,0.12,160,10000
176,0.12,160,10000
177,0.12,160,10000
178,0.12,160,10000
179,0.12,160,10000
180,0.12,160,10000
181,0.12,160,10000
182,0.12,160,10000
183,0.12,160,10000
184,0.12,160,10000
185,0.12,160,10000
186,0.12,160,10000
187,0.12,160,10000
188,0.12,160,10000
189,0.12,160,10000
190,0.12,160,10000
191,0.12,160,10000
192,0.12,160,10000
193,0.12,160,10000
194,0.12,160,10000
195,0.12,160,10000
196,0.12,160,10000
197,0.12,160,10000
198,0.12,160,10000
199,0.12,160,10000
200,0.12,160,10000
201,0.12,160,10000
202,0.12,160,10000
203,0.12,160,10000
204,0.12,160,10000
205,0.12,160,10000
206,0.12,160,10000
207,0.12,160,10000
208,0.12,160,10000
209,0.12,160,10000
210,0.12,160,10000
211,0.12,160,10000
212,0.12,160,10000
213,0.12,160,10000
214,0.12,160,10000
215,0.12,160,10000
216,0.12,160,10000
217,0.12,160,10000
218,0.12,160,10000
219,0.12,160,10000
220,0.12,160,10000
221,0.12,160,10000
222,0.12,160,10000
223,0.12,160,10000
224,0.12,160,10000
225,0.12,160,10000
226,0.12,160,10000
227,0.12,160,10000
228,0.12,160,10000
229,0.12,160,10000
230,0.12,160,10000
231,0.12,160,10000
232,0.12,160,10000
233,0.12,160,10000
234,0.12,160,10000
235,0.12,160,10000
236,0.12,160,10000
237,0.12,160,10000
238,0.12,160,10000
239,0.12,160,10000
