Simulation Number,Laser.linearPol_0,Laser.photonEnergy,Laser.numberRays,ExitSlit.openingHeight
0,1,160,10000,0.12
1,1,160,10000,0.12
2,1,160,10000,0.12
3,1,160,10000,0.12
4,1,160,10000,0.12
5,1,160,10000,0.12
6,1,160,10000,0.12
7,1,160,10000,0.12
8,1,160,10000,0.12
9,1,160,10000,0.12
10,1,160,10000,0.12
11,1,160,10000,0.12
12,1,160,10000,0.12
13,1,160,10000,0.12
14,1,160,10000,0.12
15,1,160,10000,0.12
16,1,160,10000,0.12
17,1,160,10000,0.12
18,1,160,10000,0.12
19,1,160,10000,0.12
20,1,160,10000,0.12
21,1,160,10000,0.12
22,1,160,10000,0.12
23,1,160,10000,0.12
24,1,160,10000,0.12
25,1,160,10000,0.12
26,1,160,10000,0.12
27,1,160,10000,0.12
28,1,160,10000,0.12
29,1,160,10000,0.12
30,1,160,10000,0.12
31,1,160,10000,0.12
32,1,160,10000,0.12
33,1,160,10000,0.12
34,1,160,10000,0.12
35,1,160,10000,0.12
36,1,160,10000,0.12
37,1,160,10000,0.12
38,1,160,10000,0.12
39,1,160,10000,0.12
40,1,160,10000,0.12
41,1,160,10000,0.12
42,1,160,10000,0.12
43,1,160,10000,0.12
44,1,160,10000,0.12
45,1,160,10000,0.12
46,1,160,10000,0.12
47,1,160,10000,0.12
48,1,160,10000,0.12
49,1,160,10000,0.12
50,1,160,10000,0.12
51,1,160,10000,0.12
52,1,160,10000,0.12
53,1,160,10000,0.12
54,1,160,10000,0.12
55,1,160,10000,0.12
56,1,160,10000,0.12
57,1,160,10000,0.12
58,1,160,10000,0.12
59,1,160,10000,0.12
60,1,160,10000,0.12
61,1,160,10000,0.12
62,1,160,10000,0.12
63,1,160,10000,0.12
64,1,160,10000,0.12
65,1,160,10000,0.12
66,1,160,10000,0.12
67,1,160,10000,0.12
68,1,160,10000,0.12
69,1,160,10000,0.12
70,1,160,10000,0.12
71,1,160,10000,0.12
72,1,160,10000,0.12
73,1,160,10000,0.12
74,1,160,10000,0.12
75,1,160,10000,0.12
76,1,160,10000,0.12
77,1,160,10000,0.12
78,1,160,10000,0.12
79,1,160,10000,0.12
80,1,160,10000,0.12
81,1,160,10000,0.12
82,1,160,10000,0.12
83,1,160,10000,0.12
84,1,160,10000,0.12
85,1,160,10000,0.12
86,1,160,10000,0.12
87,1,160,10000,0.12
88,1,160,10000,0.12
89,1,160,10000,0.12
90,1,160,10000,0.12
91,1,160,10000,0.12
92,1,160,10000,0.12
93,1,160,10000,0.12
94,1,160,10000,0.12
95,1,160,10000,0.12
96,1,160,10000,0.12
97,1,160,10000,0.12
98,1,160,10000,0.12
99,1,160,10000,0.12
100,1,160,10000,0.12
101,1,160,10000,0.12
102,1,160,10000,0.12
103,1,160,10000,0.12
104,1,160,10000,0.12
105,1,160,10000,0.12
106,1,160,10000,0.12
107,1,160,10000,0.12
108,1,160,10000,0.12
109,1,160,10000,0.12
110,1,160,10000,0.12
111,1,160,10000,0.12
112,1,160,10000,0.12
113,1,160,10000,0.12
114,1,160,10000,0.12
115,1,160,10000,0.12
116,1,160,10000,0.12
117,1,160,10000,0.12
118,1,160,10000,0.12
119,1,160,10000,0.12
120,1,160,10000,0.12
121,1,160,10000,0.12
122,1,160,10000,0.12
123,1,160,10000,0.12
124,1,160,10000,0.12
125,1,160,10000,0.12
126,1,160,10000,0.12
127,1,160,10000,0.12
128,1,160,10000,0.12
129,1,160,10000,0.12
130,1,160,10000,0.12
131,1,160,10000,0.12
132,1,160,10000,0.12
133,1,160,10000,0.12
134,1,160,10000,0.12
135,1,160,10000,0.12
136,1,160,10000,0.12
137,1,160,10000,0.12
138,1,160,10000,0.12
139,1,160,10000,0.12
140,1,160,10000,0.12
141,1,160,10000,0.12
142,1,160,10000,0.12
143,1,160,10000,0.12
144,1,160,10000,0.12
145,1,160,10000,0.12
146,1,160,10000,0.12
147,1,160,10000,0.12
148,1,160,10000,0.12
149,1,160,10000,0.12
150,1,160,10000,0.12
151,1,160,10000,0.12
152,1,160,10000,0.12
153,1,160,10000,0.12
154,1,160,10000,0.12
155,1,160,10000,0.12
156,1,160,10000,0.12
157,1,160,10000,0.12
158,1,160,10000,0.12
159,1,160,10000,0.12
160,1,160,10000,0.12
161,1,160,10000,0.12
162,1,160,10000,0.12
163,1,160,10000,0.12
164,1,160,10000,0.12
165,1,160,10000,0.12
166,1,160,10000,0.12
167,1,160,10000,0.12
168,1,160,10000,0.12
169,1,160,10000,0.12
170,1,160,10000,0.12
171,1,160,10000,0.12
172,1,160,10000,0.12
173,1,160,10000,0.12
174,1,160,10000,0.12
175,1,160,10000,0.12
176,1,160,10000,0.12
177,1,160,10000,0.12
178,1,160,10000,0.12
179,1,160,10000,0.12
