Simulation Number,PointSource.photonEnergy,PointSource.numberRays,ToroidalGrating.exitArmLengthSag,ToroidalGrating.exitArmLengthMer,Slit.distancePreceding
0,681.64,100000,1030.79,1030.79,1030.79
1,681.64,100000,1030.79,1030.79,1030.79
2,681.64,100000,1030.79,1030.79,1030.79
3,681.64,100000,1030.79,1030.79,1030.79
4,681.64,100000,1030.79,1030.79,1030.79
5,681.64,100000,1030.79,1030.79,1030.79
6,681.64,100000,1030.79,1030.79,1030.79
7,681.64,100000,1030.79,1030.79,1030.79
8,681.64,100000,1030.79,1030.79,1030.79
9,681.64,100000,1030.79,1030.79,1030.79
10,681.64,100000,1030.79,1030.79,1030.79
11,681.64,100000,1030.79,1030.79,1030.79
12,681.64,100000,1030.79,1030.79,1030.79
13,681.64,100000,1030.79,1030.79,1030.79
14,681.64,100000,1030.79,1030.79,1030.79
15,681.64,100000,1030.79,1030.79,1030.79
16,681.64,100000,1030.79,1030.79,1030.79
17,681.64,100000,1030.79,1030.79,1030.79
18,681.64,100000,1030.79,1030.79,1030.79
19,681.64,100000,1030.79,1030.79,1030.79
20,681.64,100000,1030.79,1030.79,1030.79
21,681.64,100000,1030.79,1030.79,1030.79
22,681.64,100000,1030.79,1030.79,1030.79
23,681.64,100000,1030.79,1030.79,1030.79
24,681.64,100000,1030.79,1030.79,1030.79
25,681.64,100000,1030.79,1030.79,1030.79
26,681.64,100000,1030.79,1030.79,1030.79
27,681.64,100000,1030.79,1030.79,1030.79
28,681.64,100000,1030.79,1030.79,1030.79
