# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	3.211999999999999886e+02	3.211999999999999855e-01	nan	5.335011773236146559e-02	4.282282532380130569e-01	2.368339671648058559e-02
nan	7.963999999999999773e+02	7.963999999999999968e-01	nan	5.939090397437922497e-02	4.727897191935470644e-01	2.159008716326233854e-02
nan	1.707400000000000091e+03	1.707399999999999807e+00	nan	6.006328337242763243e-02	4.000017848009192467e-01	2.260937210424351917e-02
nan	3.148800000000000182e+03	3.148800000000000043e+00	nan	6.513018284305190087e-02	4.229045184897266552e-01	2.187235606587591835e-02
nan	5.236800000000000182e+03	5.236800000000000566e+00	nan	6.647722120171409288e-02	4.280904305556757494e-01	2.179586070508712087e-02
nan	7.871000000000000000e+03	7.870999999999999552e+00	nan	6.926442027521488576e-02	4.334031267553368205e-01	2.214673463157339553e-02
nan	1.091360000000000036e+04	1.091359999999999886e+01	nan	7.123204332320369481e-02	4.385038283120762381e-01	2.154218156683995744e-02
nan	1.343300000000000000e+04	1.343300000000000161e+01	nan	7.281664721023731190e-02	4.581570616880294433e-01	2.193207578258054083e-02
nan	1.621000000000000000e+04	1.621000000000000085e+01	nan	7.558025203276201587e-02	4.548573080614427555e-01	2.125894052254917455e-02
nan	1.899100000000000000e+04	1.899099999999999966e+01	nan	7.707254073017680285e-02	4.363985130096785237e-01	2.140207402755773744e-02
nan	2.210500000000000000e+04	2.210499999999999687e+01	nan	7.958939342331632083e-02	4.583457972516700174e-01	2.086573110355569721e-02
nan	2.465720000000000073e+04	2.465719999999999601e+01	nan	8.153489815383352379e-02	4.480956853917059668e-01	2.049157680191360242e-02
nan	2.684140000000000146e+04	2.684140000000000015e+01	nan	8.361003713254433478e-02	4.474307381467343414e-01	2.030623603681576059e-02
