Point Source-Photon Energy / eV,"Toroidal Grating-Exit arm length (sagittal, x-y) / mm","Toroidal Grating-Exit arm length (meridional, y-z) / mm",Slit-Distance / mm
706.64,1030.71,1030.71,1030.71
681.64,1030.79,1030.79,1030.79
656.64,1030.88,1030.88,1030.88
631.64,1030.97,1030.97,1030.97
619.92,1031.01,1031.01,1031.01
606.64,1031.07,1031.07,1031.07
581.64,1031.18,1031.18,1031.18
556.64,1031.30,1031.30,1031.30
531.64,1031.43,1031.43,1031.43
506.64,1031.57,1031.57,1031.57
481.64,1031.73,1031.73,1031.73
456.64,1031.90,1031.90,1031.90
431.64,1032.10,1032.10,1032.10
406.64,1032.32,1032.32,1032.32
381.64,1032.57,1032.57,1032.57
356.64,1032.85,1032.85,1032.85
331.64,1033.18,1033.18,1033.18
306.64,1033.56,1033.56,1033.56
281.64,1034.00,1034.00,1034.00
256.64,1034.54,1034.54,1034.54
231.64,1035.19,1035.19,1035.19
206.64,1036.00,1036.00,1036.00
181.64,1037.04,1037.04,1037.04
156.64,1038.40,1038.40,1038.40
131.64,1040.30,1040.30,1040.30
106.64,1043.10,1043.10,1043.10
103.32,1043.57,1043.57,1043.57
90.82,1045.67,1045.67,1045.67
81.64,1047.64,1047.64,1047.64
