# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	nan	nan	nan	nan	nan	nan
nan	3.399999999999999911e+00	3.400000000000000244e-03	nan	2.235550106857624869e-02	3.628620959326563367e-01	1.025038442912367190e-02
nan	1.180000000000000071e+01	1.179999999999999973e-02	nan	3.689923897575331235e-02	5.217477711362749071e-01	1.577809297968232188e-02
nan	2.780000000000000071e+01	2.779999999999999832e-02	nan	3.962113027417257793e-02	5.033261798761270445e-01	2.264187558778576331e-02
nan	5.339999999999999858e+01	5.340000000000000302e-02	nan	4.289419206377376864e-02	5.442545640178180211e-01	1.752593715764511062e-02
nan	8.820000000000000284e+01	8.819999999999998674e-02	nan	4.712435560481903485e-02	4.819084490178814351e-01	2.131922730725292064e-02
nan	1.394000000000000057e+02	1.393999999999999961e-01	nan	5.302836270319630924e-02	4.229997274190185896e-01	1.928049710513573059e-02
nan	1.885999999999999943e+02	1.885999999999999621e-01	nan	4.885680669345902200e-02	3.836591786622862710e-01	1.949334813937149066e-02
nan	2.370000000000000000e+02	2.370000000000000162e-01	nan	6.116763739655937254e-02	3.861549640239994585e-01	2.022711686809462034e-02
nan	2.816000000000000227e+02	2.815999999999999615e-01	nan	7.097461900984285144e-02	3.821883264054455331e-01	1.982628310099805377e-02
nan	3.471999999999999886e+02	3.471999999999999531e-01	nan	6.991874943995526892e-02	3.867089252191595605e-01	1.829753483845255463e-02
nan	4.050000000000000000e+02	4.049999999999999711e-01	nan	6.656119397454744735e-02	4.400851976900482798e-01	2.019141162915083498e-02
nan	4.726000000000000227e+02	4.726000000000000201e-01	nan	7.340854362552420853e-02	4.042753052700182037e-01	1.910517203979828979e-02
nan	5.156000000000000227e+02	5.156000000000000583e-01	nan	7.488679173893900143e-02	4.010018060241630766e-01	1.965577575734105478e-02
nan	5.670000000000000000e+02	5.669999999999999485e-01	nan	7.896811117919640133e-02	3.968919547456601360e-01	1.953958974426370926e-02
